AzG,AzS;Ko;Za
AzS,AzG;Ar;Za
Ar,Gi;AzS;Za
Gi,Ar;Za;Gh;Ma
Za,AzG;AzS;Ar;Gi;Gh;Ko;Ha
Ko,AzG;Za;Ha;KeSh
Gh,Za;Gi;Ma;Al;MaR;Ha
Ma,Gi;Gh;Al;Te;Se;Gol
Gol,Ma;Se;KhS
KhS,Gol;Se;KhR
KhR,KhS;Se;KhJ
Se,Gol;KhS;KhR;KhJ;Es;Ghom;Te;Ma
Te,Ghom;MaR;Al;Ma;Se
Al,Gh;MaR;Te;Ma
KeSh,Ko;Ha;Lo;IL
Ha,KeSh;Ko;Za;Gh;MaR;Lo
MaR,Ha;Gh;Al;Te;Ghom;Es;Lo
Ghom,MaR;Te;Se;Es
Es,Lo;MaR;Ghom;Se;KhJ;Ya;Fa;KB;CHB
IL,KeSh;Lo;Khu
Khu,IL;Lo;CHB;KB;Bu
CHB,Khu;Lo;Es;KB
KB,Khu;CHB;Es;Fa;Bu
Ya,Fa;Es;KhJ;K
KhJ,SB;K;Ya;Es;Se;KhR
K,Ya;Fa;KhJ;SB;Ho
SB,KhJ;K;Ho
Ho,SB;K;Fa;Bu
Fa,Ho;Bu;KB;CHB;Es;Ya;K
Bu,Khu;KB;Fa;Ho
Lo,IL;Khu;KeSh;Ha;MaR;Es;CHB
